Year	Institution Name	Undergrads	RealWhite	RealBlack	RealHispanic	RealAsian	RealUnknown	American Indian	Multi-Racial
1996	Community College of the Air Force	44141	0.7966	0.1536	0.0302	0.0033	0	0	0
1996	Miami Dade College	41150	0.135	0.2065	0.6162	0.0008	0.0262	0	0
1996	University of Minnesota (Twin Cities)	37087	0.7679	0.0352	0.0175	0.0061	0.0921	0	0
1996	Ohio State University	35314	0.8016	0.0728	0.0183	0.0032	0.0533	0	0
1996	The University of Texas at Austin	34436	0.6482	0.042	0.1483	0.0044	0.0309	0	0
1996	Texas A&M University	34298	0.8021	0.0329	0.107	0.0032	0.0217	0	0
1996	Michigan State University	32050	0.8245	0.0813	0.0217	0.0055	0.0281	0	0
1996	Houston Community College System	31787	0.4161	0.2279	0.206	0.0035	0.0051	0	0
1996	Pennsylvania State University	31649	0.8851	0.03	0.0238	0.0013	0.0082	0	0
1996	Arizona State University	30680	0.7392	0.0291	0.1024	0.0214	0.0635	0	0
1996	Purdue University	29269	0.8726	0.0354	0.0205	0.0047	0.031	0	0
1996	University of Florida	28463	0.7547	0.066	0.1037	0.0027	0.0112	0	0
1996	Brigham Young University	28418	0.8689	0.0027	0.0195	0.0063	0.0839	0	0
1996	College of DuPage	26847	0.8224	0.0306	0.0394	0.0016	0.0266	0	0
1996	University of Wisconsin–Madison	26644	0.8699	0.0191	0.0213	0.005	0.0402	0	0
1996	University of Illinois at Urbana-Champaign	26311	0.7228	0.0723	0.0536	0.0022	0.0211	0	0
1996	Pima Community College	26139	0.5964	0.0389	0.2734	0.0345	0.0291	0	0
1996	Indiana University (Bloomington)	25451	0.8773	0.0383	0.0189	0.0023	0.0325	0	0
1996	University of Arizona	25158	0.7119	0.0263	0.1424	0.0217	0.0426	0	0
1996	Rutgers University (New Brunswick)	25157	0.5918	0.0832	0.0828	0.0033	0.0678	0	0
1996	University of Washington	25017	0.6707	0.0339	0.0381	0.016	0.0214	0	0
1996	University of South Florida	24313	0.7438	0.0963	0.0897	0.0031	0.0193	0	0
1996	San Diego State University	24239	0.4544	0.0586	0.208	0.0103	0.1158	0	0
1996	University of California (Los Angeles)	23912	0.3305	0.0601	0.1691	0.0097	0.0535	0	0
1996	University of Michigan	23590	0.6733	0.0881	0.044	0.007	0.0762	0	0
1997	Miami Dade College	41800	0.1198	0.2035	0.6352	0.0008	0.0249	0	0
1997	Community College of the Air Force	41694	0.7926	0.1599	0.0277	0.0035	0	0	0
